iso3c,country,region,income_group,latest_year,gdp_per_capita_usd,health_exp_pct_gdp,health_exp_per_capita_usd,under5_mortality_per_1000
ISL,Iceland,Europe & Central Asia,High income,2023,82201.2908518078,8.70510101,7064.62402344,2.9
IND,India,South Asia,Lower middle income,2023,2434.44826340989,3.33944035,84.68669891,28.0
IDN,Indonesia,East Asia & Pacific,Upper middle income,2023,4876.2992959843,2.70239949,131.77729797,18.4
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2023,5049.29931642754,6.02542305,267.059021,11.7
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2023,5965.31835077761,5.53275251,333.29360962,22.5
IRL,Ireland,Europe & Central Asia,High income,2023,106818.917130804,6.57538509,6877.9375,3.8
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,2023,52126.4489280033,7.09822369,3927.69873047,3.4
ITA,Italy,Europe & Central Asia,High income,2023,39279.699782164,8.40559483,3283.47216797,2.8
JAM,Jamaica,Latin America & Caribbean,Upper middle income,2023,7542.39855849054,7.60493946,520.15704346,18.1
JPN,Japan,East Asia & Pacific,High income,2023,35215.003535366,10.73979473,3638.19287109,2.4
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2023,4906.23543006639,7.66000605,342.10394287,13.3
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,2023,12879.4275257974,3.76701546,489.71456909,9.6
KEN,Kenya,Sub-Saharan Africa,Lower middle income,2023,1942.58802756191,4.35172892,84.958992,39.6
KIR,Kiribati,East Asia & Pacific,Lower middle income,2023,2200.68918614289,10.94525623,238.12675476,54.5
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,2023,,,,18.0
KOR,"Korea, Rep.",East Asia & Pacific,High income,2023,35674.095995632,8.5650692,3043.87329102,2.9
XKX,Kosovo,Europe & Central Asia,Upper middle income,2023,6220.33213919344,,,9.1
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,2023,34091.9714813002,4.96311998,1679.12353516,8.4
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,2023,2138.22210211478,4.50344467,96.65081787,17.0
LAO,Lao PDR,East Asia & Pacific,Lower middle income,2023,2066.94979776957,1.32651615,27.41773605,30.5
LVA,Latvia,Europe & Central Asia,High income,2023,22710.2637544197,7.27783823,1645.4152832,2.8
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2023,3477.72489842684,5.57497263,260.8119812,17.0
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2023,921.435141557056,12.61182117,122.63982391,61.3
LBR,Liberia,Sub-Saharan Africa,Low income,2023,799.194470229642,13.00574875,103.94123077,87.3
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2023,6026.51518708812,7.80515862,470.4034729,31.7
LTU,Lithuania,Europe & Central Asia,High income,2023,27983.3658256887,7.31801939,2044.18371582,3.4
LUX,Luxembourg,Europe & Central Asia,High income,2023,133230.619178899,5.78777981,7510.99414063,2.2
MDG,Madagascar,Sub-Saharan Africa,Low income,2023,514.064076551927,3.42822957,17.44003487,63.6
MWI,Malawi,Sub-Saharan Africa,Low income,2023,633.214767978695,6.53459597,41.26664734,49.6
MYS,Malaysia,East Asia & Pacific,Upper middle income,2023,11386.0395636528,3.95760036,450.33853149,8.3
MDV,Maldives,South Asia,Upper middle income,2023,12587.6126038651,9.24973583,1159.02819824,5.7
MLI,Mali,Sub-Saharan Africa,Low income,2023,1042.44223444837,3.81316996,33.9802475,76.2
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,2023,40932.5238774461,8.84301376,3623.4609375,5.5
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,2023,6799.39217554794,13.40528965,894.21533203,27.6
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,2023,2127.9576285973,4.34333467,92.11444092,38.1
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,2023,11269.9684462139,5.56544495,616.20739746,15.4
MEX,Mexico,Latin America & Caribbean,Upper middle income,2023,13830.843848864,5.50398684,760.98840332,13.4
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Upper middle income,2023,3933.01607031874,12.88087559,507.7762146,23.1
